Id2,Geography,Age,2015,2020,2025,2030,,,,,,,,,
27047,Freeborn,30 to 34," 1,480 "," 1,297 "," 1,151 "," 1,418 ",,,,,,,,,
27047,Freeborn,35 to 44," 2,755 "," 2,696 "," 2,533 "," 2,220 ",,,,,,,,,
27047,Freeborn,45 to 54," 3,548 "," 2,857 "," 2,597 "," 2,538 ",,,,,,,,,
27047,Freeborn,55 to 59," 1,924 "," 1,743 "," 1,306 "," 1,132 ",,,,,,,,,
27047,Freeborn,60 to 64," 1,429 "," 1,537 "," 1,392 "," 1,039 ",,,,,,,,,
27047,Freeborn,65 to 74, 942 ," 1,061 "," 1,150 "," 1,131 ",,,,,,,,,
27047,Freeborn,75+, 157 , 169 , 188 , 209 ,,,,,,,,,
27049,Goodhue,16 to 19," 1,284 "," 1,386 "," 1,336 "," 1,163 ",,,,,,,,,
27049,Goodhue,20 to 24," 2,182 "," 2,872 "," 3,057 "," 2,944 ",,,,,,,,,
27049,Goodhue,25 to 29," 2,015 "," 1,949 "," 2,662 "," 2,844 ",,,,,,,,,
27049,Goodhue,30 to 34," 2,191 "," 1,816 "," 1,750 "," 2,400 ",,,,,,,,,
27049,Goodhue,35 to 44," 4,557 "," 4,413 "," 3,946 "," 3,471 ",,,,,,,,,
27049,Goodhue,45 to 54," 5,644 "," 4,581 "," 4,279 "," 4,111 ",,,,,,,,,
27049,Goodhue,55 to 59," 2,944 "," 2,860 "," 2,093 "," 1,884 ",,,,,,,,,
27049,Goodhue,60 to 64," 2,273 "," 2,494 "," 2,417 "," 1,760 ",,,,,,,,,
27049,Goodhue,65 to 74," 1,355 "," 1,664 "," 1,884 "," 1,928 ",,,,,,,,,
27049,Goodhue,75+, 363 , 407 , 488 , 585 ,,,,,,,,,
27051,Grant,16 to 19, 121 , 144 , 154 , 129 ,,,,,,,,,
27051,Grant,20 to 24, 262 , 315 , 365 , 388 ,,,,,,,,,
27051,Grant,25 to 29, 224 , 206 , 256 , 304 ,,,,,,,,,
27051,Grant,30 to 34, 282 , 215 , 197 , 245 ,,,,,,,,,
27051,Grant,35 to 44, 570 , 599 , 545 , 454 ,,,,,,,,,
27051,Grant,45 to 54, 623 , 513 , 515 , 541 ,,,,,,,,,
27051,Grant,55 to 59, 374 , 320 , 225 , 220 ,,,,,,,,,
27051,Grant,60 to 64, 283 , 298 , 255 , 178 ,,,,,,,,,
